;name
1030;CHAUDFONTAINE
1031;CHATELET
1032;CHASSE ROYALE
1033;CHARLEROI
1034;BRUSSELS
1035;BRUGGE
1036;BRASSCHAAT
1037;BRAINE LE COMTE
1038;BRAINE L ALLEUD
1039;BOUSSU
1040;BORNEM
1041;BOOM
1042;BLAUWPUT
1043;BLANKENBERGE
1044;BINCHE
1045;BILZEN
1046;BEVEREN
1047;BERINGEN
1048;BEERSEL
1049;BEERSE
1050;BALEN
1051;ATH
1052;ASSE
1053;ARLON
1054;ANTWERPEN
1055;ANS
1056;ANDENNE
1057;AARSCHOT
1058;AALTER
1059;AALST
1060;ZORGO
1061;YAKO
1062;TOUGAN
1063;TITAO
1064;TENKODOGO
1065;REO
1066;PO
1067;OUAHIGOUYA
1068;OUAGADOUGOU
1069;NOUNA
1070;MANGA
1071;LEO
1072;KOUPELA
1073;KOUDOUGOU
1074;KONGOUSSI
1075;KOMBISSIRI
1076;KOKOLOGO
1077;KAYA
1078;HOUNDE
1079;GOURCY
1080;GARANGO
1081;FADA N GOURMA
1082;DORI
1083;DJIBO
1084;DIAPAGA
1085;DEDOUGOU
1086;BOUSSE
1087;BOULSA
1088;BOBO DIOULASSO
1089;BANFORA
1090;YAMBOL
1091;VRATSA
1092;VIDIN
1093;VELINGRAD
1094;VELIKO TŬRNOVO
1095;VARNA
1096;TARGOVISHTE
1097;TROYAN
1098;DOBRICH
1099;SVISHTOV
1100;SVILENGRAD
1101;STARA ZAGORA
1102;DUPNITSA
1103;SOFIA
1104;SMOLYAN
1105;SLIVEN
1106;SILISTRA
1107;SHUMEN
1108;SEVLIEVO
1109;SANDANSKI
1110;SAMOKOV
1111;RUSE
1112;RAZGRAD
1113;RAKOVSKI
1114;PARVOMAY
1115;POPOVO
1116;PLOVDIV
1117;PLEVEN
1118;PETRICH
1119;PESHTERA
1120;PERNIK
1121;PAZARDZHIK
1122;PANAGYURISHTE
1123;NOVA ZAGORA
1124;MONTANA
1125;LOVECH
1126;LOM
1127;KYUSTENDIL
1128;KARDZHALI
1129;HASKOVO
1130;HARMANLI
1131;KAZANLAK
1132;KARNOBAT
1133;KARLOVO
1134;GOTSE DELCHEV
1135;GORNA ORYAHOVITSA
1136;GABROVO
1137;DIMITROVGRAD
1138;CHIRPAN
1139;BURGAS
1140;BOTEVGRAD
1141;BLAGOEVGRAD
1142;BERKOVITSA
1143;AYTOS
1144;ASPARUHOVO
1145;ASENOVGRAD
1146;SITRAH
1147;MADINAT ISA
1148;JIDD ḨAFS
1149;MADINAT ḨAMAD
1150;DAR KULAYB
1151;AL MUHARRAQ
1152;MANAMA
1153;AR RIFA 
1154;MAKAMBA
1155;BURURI
1156;BUJUMBURA
1157;MURAMVYA
1158;GITEGA
1159;RUYIGI
1160;NGOZI
1161;KAYANZA
1162;MUYINGA
1163;RUTANA
1164;TCHAOUROU
1165;TANGUIETA
1166;SAVE
1167;SAVALOU
1168;SAKETE
1169;PORTO NOVO
1170;POBE
1171;PARAKOU
1172;OUIDAH
1173;NIKKI
1174;NATITINGOU
1175;MALANVILLE
1176;LOKOSSA
1177;KETOU
1178;KANDI
1179;DOGBO
1180;DJOUGOU
1181;DASSA ZOUME
1182;COVE
1183;COTONOU
1184;COME
1185;BOHICON
1186;BEMBEREKE
1187;BASSILA
1188;BANIKOARA
1189;APLAHOUE
1190;ALLADA
1191;ABOMEY CALAVI
1192;ABOMEY
1193;GUSTAVIA
1194;HAMILTON
1195;TUTONG
1196;SERIA
1197;KUALA BELAIT
1198;BANDAR SERI BEGAWAN
1199;YACUIBA
1200;WARNES
1201;VILLAZON
1202;VILLA YAPACANI
1203;VILLAMONTES
1204;TUPIZA
1205;TRINIDAD
1206;TIQUIPAYA
1207;TARIJA
1208;SUCRE
1209;SANTIAGO DEL TORNO
1210;SANTA CRUZ DE LA SIERRA
1211;SAN IGNACIO DE VELASCO
1212;SACABA
1213;RIBERALTA
